FT_STATUS,UTR_NUMBER,ID,REMARKS,FT_INNITIATED_DATE
Success,N264220004015804,a0j8p000001x2fK,Paid,2022-09-23T11:32:44Z
Success,N264220004015805,a0j8p000001zkiv,Paid,2022-09-23T11:32:44Z
Success,N264220004015802,a0j8p000001yi1w,Paid,2022-09-23T11:32:44Z
Success,N264220004016124,a0j8p000001yhyI,Paid,2022-09-23T11:32:44Z
Success,N264220004015807,a0j8p000001yopR,Paid,2022-09-23T11:32:44Z
Success,N264220004016122,a0j8p000001ze1K,Paid,2022-09-23T11:32:44Z
Success,N264220004016083,a0j8p000001yWAr,Paid,2022-09-23T11:32:44Z
Success,N264220004015849,a0j8p000001yWTR,Paid,2022-09-23T11:32:44Z
Success,N264220004016008,a0j8p000001zXEI,Paid,2022-09-23T11:32:44Z
Success,N264220004016164,a0j8p000001ydwW,Paid,2022-09-23T11:32:44Z
Success,N264220004016031,a0j8p000001yj7P,Paid,2022-09-23T11:32:44Z
Success,N264220004015999,a0j8p000001zdpy,Paid,2022-09-23T11:32:44Z
Success,N264220004015946,a0j8p000001zZe4,Paid,2022-09-23T11:32:44Z
Success,N264220004015950,a0j8p000001zlpc,Paid,2022-09-23T11:32:44Z
Success,N264220004016192,a0j8p000001zQG3,Paid,2022-09-23T11:32:44Z
Success,N264220004016130,a0j8p000001zQfO,Paid,2022-09-23T11:32:44Z
Success,N264220004015904,a0j8p000001yd5J,Paid,2022-09-23T11:32:44Z
Success,N264220004015817,a0j8p000001zlED,Paid,2022-09-23T11:32:44Z
Success,N264220004016243,a0j8p000001zsLu,Paid,2022-09-23T11:32:44Z
Success,N264220004016294,a0j8p000001zrwe,Paid,2022-09-23T11:32:44Z
Success,N264220004016190,a0j8p000001zSYB,Paid,2022-09-23T11:32:44Z
Success,N264220004016194,a0j8p000001zslU,Paid,2022-09-23T11:32:44Z
Success,N264220004016305,a0j8p000001zY0v,Paid,2022-09-23T11:32:44Z
Success,N264220004016203,a0j8p000001zYLq,Paid,2022-09-23T11:32:44Z
Success,N264220004015969,a0j8p000001zZOm,Paid,2022-09-23T11:32:44Z
Success,N264220004015913,a0j8p000001zagM,Paid,2022-09-23T11:32:44Z
Success,N264220004015915,a0j8p000001zYxq,Paid,2022-09-23T11:32:44Z
Success,N264220004015847,a0j8p00000204Zw,Paid,2022-09-23T11:32:44Z
Success,N264220004016255,a0j8p000002058R,Paid,2022-09-23T11:32:44Z
Success,N264220004016226,a0j8p00000205Vz,Paid,2022-09-23T11:32:44Z
Success,N264220004015762,a0j8p000001zoU5,Paid,2022-09-23T11:32:44Z
Success,N264220004016156,a0j8p000001zp6e,Paid,2022-09-23T11:32:44Z
Success,N264220004015764,a0j8p000001zoz4,Paid,2022-09-23T11:32:44Z
Success,N264220004015742,a0j8p000001zpCf,Paid,2022-09-23T11:32:44Z
Success,N264220004015767,a0j8p000001zooT,Paid,2022-09-23T11:32:44Z
Success,N264220004015834,a0j8p000001yCCT,Paid,2022-09-23T11:32:44Z
Success,N264220004015833,a0j8p000001yDRM,Paid,2022-09-23T11:32:44Z
Success,N264220004016276,a0j8p000001yAIH,Paid,2022-09-23T11:32:44Z
Success,N264220004015832,a0j8p000001yAaZ,Paid,2022-09-23T11:32:44Z
Success,N264220004015790,a0j8p00000202tS,Paid,2022-09-23T11:32:44Z
Success,N264220004015938,a0j8p000001yTUl,Paid,2022-09-23T11:32:44Z
Success,N264220004015791,a0j8p00000202QG,Paid,2022-09-23T11:32:44Z
Success,N264220004015942,a0j8p00000202Bj,Paid,2022-09-23T11:32:44Z
Success,N264220004015882,a0j8p000001yU8b,Paid,2022-09-23T11:32:44Z
Success,N264220004016127,a0j8p000001ydbH,Paid,2022-09-23T11:32:44Z
Success,N264220004015839,a0j8p000001yaoC,Paid,2022-09-23T11:32:44Z
Success,N264220004016133,a0j8p000001ztZs,Paid,2022-09-23T11:32:44Z
Success,N264220004016176,a0j8p000001zhhg,Paid,2022-09-23T11:32:44Z
Success,N264220004016095,a0j8p000001zgPi,Paid,2022-09-23T11:32:44Z
Success,N264220004016029,a0j8p000001zjco,Paid,2022-09-23T11:32:44Z
Success,N264220004015825,a0j8p000001x16P,Paid,2022-09-23T11:32:44Z
Success,N264220004015891,a0j8p000001zdQn,Paid,2022-09-23T11:32:44Z
Success,N264220004015948,a0j8p000001za80,Paid,2022-09-23T11:32:44Z
Success,N264220004015889,a0j8p000001zWsN,Paid,2022-09-23T11:32:44Z
Success,N264220004016150,a0j8p000001y9oH,Paid,2022-09-23T11:32:44Z
Success,N264220004016242,a0j8p000001zZ0E,Paid,2022-09-23T11:32:44Z
