ID,FT_STATUS,UTR_NUMBER,ID,REMARKS,FT_INNITIATED_DATE,STATUS
a0j8p000001nBi1AAE,Success,N253220003969908,a0j8p000001nBi1AAE,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001nC5KAAU,Success,N253220003969866,a0j8p000001nC5KAAU,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001n9qwAAA,Success,N253220003969932,a0j8p000001n9qwAAA,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001lv8WAAQ,Success,N253220003969994,a0j8p000001lv8WAAQ,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001n4rSAAQ,Success,N253220003970050,a0j8p000001n4rSAAQ,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001mv8ZAAQ,Success,N253220003970105,a0j8p000001mv8ZAAQ,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001nzVYAAY,Success,N253220003969747,a0j8p000001nzVYAAY,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001mOlmAAE,Success,N253220003970025,a0j8p000001mOlmAAE,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001nA5GAAU,Success,N253220003969838,a0j8p000001nA5GAAU,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001mw0gAAA,Success,N253220003970052,a0j8p000001mw0gAAA,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001mvRiAAI,Success,N253220003969738,a0j8p000001mvRiAAI,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001nob3AAA,Success,N253220003969787,a0j8p000001nob3AAA,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001kul4AAA,Success,N253220003970016,a0j8p000001kul4AAA,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001mvprAAA,Success,N253220003969728,a0j8p000001mvprAAA,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001nB4iAAE,Success,N253220003969934,a0j8p000001nB4iAAE,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001nEepAAE,Success,N253220003969839,a0j8p000001nEepAAE,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001mqOvAAI,Success,N253220003969708,a0j8p000001mqOvAAI,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001mq8RAAQ,Success,N253220003969888,a0j8p000001mq8RAAQ,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001mqvxAAA,Success,N253220003969944,a0j8p000001mqvxAAA,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001nykcAAA,Rejected,N253220003969975,a0j8p000001nykcAAA,ANY OTHER REASON,2022-09-12T06:35:28Z,Item Updated
a0j8p000001nx9BAAQ,Success,N253220003969754,a0j8p000001nx9BAAQ,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001o0FDAAY,Success,N253220003969843,a0j8p000001o0FDAAY,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001o1PWAAY,Success,N253220003970001,a0j8p000001o1PWAAY,Paid,2022-09-12T06:35:28Z,Item Updated
