"ID","CBS LOAN STATUS","ID","STATUS"
"0068p000003teNpAAI","Disbursed","0068p000003teNpAAI","Item Updated"
"0068p000003tlQkAAI","Disbursed","0068p000003tlQkAAI","Item Updated"
"0068p000003tlQzAAI","Disbursed","0068p000003tlQzAAI","Item Updated"
"0068p000003tlREAAY","Disbursed","0068p000003tlREAAY","Item Updated"
"0068p000003tlROAAY","Disbursed","0068p000003tlROAAY","Item Updated"
"0068p000003tlP8AAI","Disbursed","0068p000003tlP8AAI","Item Updated"
"0068p000003tlQ6AAI","Disbursed","0068p000003tlQ6AAI","Item Updated"
"0068p000003tlyEAAQ","Disbursed","0068p000003tlyEAAQ","Item Updated"
"0068p000003tXiwAAE","Disbursed","0068p000003tXiwAAE","Item Updated"
"0068p000003tiuLAAQ","Disbursed","0068p000003tiuLAAQ","Item Updated"
"0068p000003tiw2AAA","Disbursed","0068p000003tiw2AAA","Item Updated"
"0068p000003tiwMAAQ","Disbursed","0068p000003tiwMAAQ","Item Updated"
"0068p000003tB3tAAE","Disbursed","0068p000003tB3tAAE","Item Updated"
"0068p000003tB48AAE","Disbursed","0068p000003tB48AAE","Item Updated"
"0068p000003tB3oAAE","Disbursed","0068p000003tB3oAAE","Item Updated"
"0068p000003tB7WAAU","Disbursed","0068p000003tB7WAAU","Item Updated"
"0068p000003tB7HAAU","Disbursed","0068p000003tB7HAAU","Item Updated"
"0068p000003tWekAAE","Disbursed","0068p000003tWekAAE","Item Updated"
"0068p000003tWezAAE","Disbursed","0068p000003tWezAAE","Item Updated"
"0068p000003tWfOAAU","Disbursed","0068p000003tWfOAAU","Item Updated"
"0068p000003tWbSAAU","Disbursed","0068p000003tWbSAAU","Item Updated"
"0068p000003tYLlAAM","Disbursed","0068p000003tYLlAAM","Item Updated"
"0068p000003s2rvAAA","Disbursed","0068p000003s2rvAAA","Item Updated"
"0068p000003s2sPAAQ","Disbursed","0068p000003s2sPAAQ","Item Updated"
"0068p000003s2thAAA","Disbursed","0068p000003s2thAAA","Item Updated"
"0068p000003s2tXAAQ","Disbursed","0068p000003s2tXAAQ","Item Updated"
"0068p000003sPoZAAU","Disbursed","0068p000003sPoZAAU","Item Updated"
"0068p000003sPpIAAU","Disbursed","0068p000003sPpIAAU","Item Updated"
"0068p000003tWoDAAU","Disbursed","0068p000003tWoDAAU","Item Updated"
"0068p000003srvQAAQ","Disbursed","0068p000003srvQAAQ","Item Updated"
"0068p000003st3HAAQ","Disbursed","0068p000003st3HAAQ","Item Updated"
"0068p000003st3MAAQ","Disbursed","0068p000003st3MAAQ","Item Updated"
"0068p000003st3vAAA","Disbursed","0068p000003st3vAAA","Item Updated"
"0068p000003st45AAA","Disbursed","0068p000003st45AAA","Item Updated"
"0068p000003st4FAAQ","Disbursed","0068p000003st4FAAQ","Item Updated"
"0068p000003st4AAAQ","Disbursed","0068p000003st4AAAQ","Item Updated"
"0068p000003t9VrAAI","Disbursed","0068p000003t9VrAAI","Item Updated"
"0068p000003tXrFAAU","Disbursed","0068p000003tXrFAAU","Item Updated"
