"ID","?CBS LOAN STATUS","ID","STATUS"
"0068p000003tpMIAAY","Disbursed","0068p000003tpMIAAY","Item Updated"
"0068p000003uU5qAAE","Disbursed","0068p000003uU5qAAE","Item Updated"
"0068p000003tpMsAAI","Disbursed","0068p000003tpMsAAI","Item Updated"
"0068p000003uCp2AAE","Disbursed","0068p000003uCp2AAE","Item Updated"
"0068p000003uCkSAAU","Disbursed","0068p000003uCkSAAU","Item Updated"
"0068p000003uCXdAAM","Disbursed","0068p000003uCXdAAM","Item Updated"
"0068p000003uCW6AAM","Disbursed","0068p000003uCW6AAM","Item Updated"
"0068p000003uCXEAA2","Disbursed","0068p000003uCXEAA2","Item Updated"
"0068p000003uCkIAAU","Disbursed","0068p000003uCkIAAU","Item Updated"
"0068p000003uBbQAAU","Disbursed","0068p000003uBbQAAU","Item Updated"
"0068p000003uBcsAAE","Disbursed","0068p000003uBcsAAE","Item Updated"
"0068p000003uBp6AAE","Disbursed","0068p000003uBp6AAE","Item Updated"
"0068p000003uDtKAAU","Disbursed","0068p000003uDtKAAU","Item Updated"
"0068p000003uWnHAAU","Disbursed","0068p000003uWnHAAU","Item Updated"
"0068p000003tpzAAAQ","Disbursed","0068p000003tpzAAAQ","Item Updated"
"0068p000003tpwLAAQ","Disbursed","0068p000003tpwLAAQ","Item Updated"
"0068p000003tpwGAAQ","Disbursed","0068p000003tpwGAAQ","Item Updated"
"0068p000003uXlXAAU","Disbursed","0068p000003uXlXAAU","Item Updated"
"0068p000003uXlNAAU","Disbursed","0068p000003uXlNAAU","Item Updated"
"0068p000003uXhKAAU","Disbursed","0068p000003uXhKAAU","Item Updated"
"0068p000003uCrNAAU","Disbursed","0068p000003uCrNAAU","Item Updated"
"0068p000003uCuAAAU","Disbursed","0068p000003uCuAAAU","Item Updated"
"0068p000003uBiTAAU","Disbursed","0068p000003uBiTAAU","Item Updated"
"0068p000003tFTBAA2","Disbursed","0068p000003tFTBAA2","Item Updated"
"0068p000003tnGsAAI","Disbursed","0068p000003tnGsAAI","Item Updated"
"0068p000003uXQaAAM","Disbursed","0068p000003uXQaAAM","Item Updated"
"0068p000003uXSXAA2","Disbursed","0068p000003uXSXAA2","Item Updated"
"0068p000003uU1eAAE","Disbursed","0068p000003uU1eAAE","Item Updated"
"0068p000003tvISAAY","Disbursed","0068p000003tvISAAY","Item Updated"
"0068p000003uU1xAAE","Disbursed","0068p000003uU1xAAE","Item Updated"
"0068p000003uNmPAAU","Disbursed","0068p000003uNmPAAU","Item Updated"
"0068p000003taZWAAY","Disbursed","0068p000003taZWAAY","Item Updated"
"0068p000003taYxAAI","Disbursed","0068p000003taYxAAI","Item Updated"
"0068p000003tabcAAA","Disbursed","0068p000003tabcAAA","Item Updated"
"0068p000003ueWrAAI","Disbursed","0068p000003ueWrAAI","Item Updated"
"0068p000003uD8JAAU","Disbursed","0068p000003uD8JAAU","Item Updated"
"0068p000003uCtgAAE","Disbursed","0068p000003uCtgAAE","Item Updated"
"0068p000003uCEqAAM","Disbursed","0068p000003uCEqAAM","Item Updated"
"0068p000003tdipAAA","Disbursed","0068p000003tdipAAA","Item Updated"
"0068p000003tdnSAAQ","Disbursed","0068p000003tdnSAAQ","Item Updated"
"0068p000003uQDtAAM","Disbursed","0068p000003uQDtAAM","Item Updated"
"0068p000003uQ9sAAE","Disbursed","0068p000003uQ9sAAE","Item Updated"
"0068p000003uQCHAA2","Disbursed","0068p000003uQCHAA2","Item Updated"
"0068p000003uQDPAA2","Disbursed","0068p000003uQDPAA2","Item Updated"
"0068p000003uQ7vAAE","Disbursed","0068p000003uQ7vAAE","Item Updated"
"0068p000003tv7YAAQ","Disbursed","0068p000003tv7YAAQ","Item Updated"
"0068p000003teDoAAI","Disbursed","0068p000003teDoAAI","Item Updated"
"0068p000003teCWAAY","Disbursed","0068p000003teCWAAY","Item Updated"
"0068p000003teiVAAQ","Disbursed","0068p000003teiVAAQ","Item Updated"
"0068p000003tp9dAAA","Disbursed","0068p000003tp9dAAA","Item Updated"
"0068p000003tvNIAAY","Disbursed","0068p000003tvNIAAY","Item Updated"
"0068p000003uBjqAAE","Disbursed","0068p000003uBjqAAE","Item Updated"
"0068p000003uBinAAE","Disbursed","0068p000003uBinAAE","Item Updated"
"0068p000003tovvAAA","Disbursed","0068p000003tovvAAA","Item Updated"
"0068p000003uBjgAAE","Disbursed","0068p000003uBjgAAE","Item Updated"
"0068p000003uZuqAAE","Disbursed","0068p000003uZuqAAE","Item Updated"
"0068p000003uZxVAAU","Disbursed","0068p000003uZxVAAU","Item Updated"
"0068p000003uZyEAAU","Disbursed","0068p000003uZyEAAU","Item Updated"
"0068p000003uCa8AAE","Disbursed","0068p000003uCa8AAE","Item Updated"
"0068p000003uCWpAAM","Disbursed","0068p000003uCWpAAM","Item Updated"
"0068p000003uDmUAAU","Disbursed","0068p000003uDmUAAU","Item Updated"
"0068p000003uegtAAA","Disbursed","0068p000003uegtAAA","Item Updated"
"0068p000003uDotAAE","Disbursed","0068p000003uDotAAE","Item Updated"
"0068p000003uDp3AAE","Disbursed","0068p000003uDp3AAE","Item Updated"
"0068p000003uDmKAAU","Disbursed","0068p000003uDmKAAU","Item Updated"
"0068p000003uCcTAAU","Disbursed","0068p000003uCcTAAU","Item Updated"
"0068p000003uCcEAAU","Disbursed","0068p000003uCcEAAU","Item Updated"
"0068p000003tFjmAAE","Disbursed","0068p000003tFjmAAE","Item Updated"
"0068p000003uaZEAAY","Disbursed","0068p000003uaZEAAY","Item Updated"
"0068p000003rN9TAAU","Disbursed","0068p000003rN9TAAU","Item Updated"
"0068p000003rv0AAAQ","Disbursed","0068p000003rv0AAAQ","Item Updated"
