"ID","?CBS LOAN STATUS","ACTUAL DISBURSEMENT DATE","OPPORTUNITY STATUS","ID","APPLICATION STATUS","STATUS"
"0068p000003qMfSAAU","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003qMfSAAU","Disbursed","Item Updated"
"0068p000003qMWkAAM","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003qMWkAAM","Disbursed","Item Updated"
"0068p000003qMP0AAM","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003qMP0AAM","Disbursed","Item Updated"
"0068p000003ozaXAAQ","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003ozaXAAQ","Disbursed","Item Updated"
"0068p000003oDkXAAU","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003oDkXAAU","Disbursed","Item Updated"
"0068p000003pMt3AAE","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003pMt3AAE","Disbursed","Item Updated"
"0068p000003pIQNAA2","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003pIQNAA2","Disbursed","Item Updated"
"0068p000003rkt9AAA","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003rkt9AAA","Disbursed","Item Updated"
"0068p000003pIQMAA2","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003pIQMAA2","Disbursed","Item Updated"
"0068p000003t1tYAAQ","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003t1tYAAQ","Disbursed","Item Updated"
"0068p000003t3xOAAQ","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003t3xOAAQ","Disbursed","Item Updated"
"0068p000003t1GhAAI","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003t1GhAAI","Disbursed","Item Updated"
"0068p000003mNBuAAM","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003mNBuAAM","Disbursed","Item Updated"
"0068p000003mNBvAAM","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003mNBvAAM","Disbursed","Item Updated"
"0068p000003qnnjAAA","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003qnnjAAA","Disbursed","Item Updated"
"0068p000003rhrKAAQ","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003rhrKAAQ","Disbursed","Item Updated"
"0068p000003oAc9AAE","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003oAc9AAE","Disbursed","Item Updated"
"0068p000003sD5wAAE","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003sD5wAAE","Disbursed","Item Updated"
"0068p000003sD1CAAU","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003sD1CAAU","Disbursed","Item Updated"
"0068p000003sD2NAAU","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003sD2NAAU","Disbursed","Item Updated"
"0068p000003k8sZAAQ","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003k8sZAAQ","Disbursed","Item Updated"
"0068p000003k8nYAAQ","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003k8nYAAQ","Disbursed","Item Updated"
"0068p000003k8kAAAQ","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003k8kAAAQ","Disbursed","Item Updated"
"0068p000003k8gXAAQ","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003k8gXAAQ","Disbursed","Item Updated"
"0068p000003o5gtAAA","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003o5gtAAA","Disbursed","Item Updated"
"0068p000003sHsvAAE","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003sHsvAAE","Disbursed","Item Updated"
"0068p000003sJdIAAU","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003sJdIAAU","Disbursed","Item Updated"
"0068p000003sG9yAAE","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003sG9yAAE","Disbursed","Item Updated"
"0068p000003sr0ZAAQ","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003sr0ZAAQ","Disbursed","Item Updated"
"0068p000003rWPDAA2","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003rWPDAA2","Disbursed","Item Updated"
"0068p000003rWMFAA2","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003rWMFAA2","Disbursed","Item Updated"
"0068p000003rWNXAA2","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003rWNXAA2","Disbursed","Item Updated"
"0068p000003qsiJAAQ","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003qsiJAAQ","Disbursed","Item Updated"
"0068p000003qrMIAAY","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003qrMIAAY","Disbursed","Item Updated"
"0068p000003tVZMAA2","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003tVZMAA2","Disbursed","Item Updated"
"0068p000003m5S2AAI","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003m5S2AAI","Disbursed","Item Updated"
"0068p000003qWIxAAM","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003qWIxAAM","Disbursed","Item Updated"
"0068p000003tDQTAA2","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003tDQTAA2","Disbursed","Item Updated"
"0068p000003qX3YAAU","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003qX3YAAU","Disbursed","Item Updated"
"0068p000003r5IJAAY","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003r5IJAAY","Disbursed","Item Updated"
"0068p000003qoySAAQ","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003qoySAAQ","Disbursed","Item Updated"
"0068p000003qp0TAAQ","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003qp0TAAQ","Disbursed","Item Updated"
"0068p000003qozaAAA","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003qozaAAA","Disbursed","Item Updated"
"0068p000003p4BKAAY","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003p4BKAAY","Disbursed","Item Updated"
"0068p000003p9zCAAQ","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003p9zCAAQ","Disbursed","Item Updated"
"0068p000003r27DAAQ","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003r27DAAQ","Disbursed","Item Updated"
"0068p000003qOwaAAE","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003qOwaAAE","Disbursed","Item Updated"
"0068p000003ssUJAAY","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003ssUJAAY","Disbursed","Item Updated"
"0068p000003teKvAAI","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003teKvAAI","Disbursed","Item Updated"
"0068p000003tYcKAAU","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003tYcKAAU","Disbursed","Item Updated"
"0068p000003o5mJAAQ","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003o5mJAAQ","Disbursed","Item Updated"
"0068p000003p7C8AAI","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003p7C8AAI","Disbursed","Item Updated"
"0068p000003rJwgAAE","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003rJwgAAE","Disbursed","Item Updated"
