"ID","?FT_STATUS","UTR_NUMBER","ID","REMARKS","FT_INNITIATED_DATE","STATUS"
"a0j8p000001zhhgAAA","Success","N264220004016176","a0j8p000001zhhgAAA","Paid","2022-09-22T12:58:31Z","Item Updated"
"a0j8p000001zgPiAAI","Success","N264220004016095","a0j8p000001zgPiAAI","Paid","2022-09-22T12:58:31Z","Item Updated"
"a0j8p000001zjcoAAA","Success","N264220004016029","a0j8p000001zjcoAAA","Paid","2022-09-22T12:58:31Z","Item Updated"
"a0j8p000001x16PAAQ","Success","N264220004015825","a0j8p000001x16PAAQ","Paid","2022-09-22T12:58:31Z","Item Updated"
"a0j8p000001zdQnAAI","Success","N264220004015891","a0j8p000001zdQnAAI","Paid","2022-09-22T12:58:31Z","Item Updated"
"a0j8p000001za80AAA","Success","N264220004015948","a0j8p000001za80AAA","Paid","2022-09-22T12:58:31Z","Item Updated"
"a0j8p000001zWsNAAU","Success","N264220004015889","a0j8p000001zWsNAAU","Paid","2022-09-22T12:58:31Z","Item Updated"
"a0j8p000001y9oHAAQ","Success","N264220004016150","a0j8p000001y9oHAAQ","Paid","2022-09-22T12:58:31Z","Item Updated"
"a0j8p000001zZ0EAAU","Success","N264220004016242","a0j8p000001zZ0EAAU","Paid","2022-09-22T12:58:31Z","Item Updated"
"a0j8p000001zYrMAAU","Success","N264220004015752","a0j8p000001zYrMAAU","Paid","2022-09-22T12:58:31Z","Item Updated"
"a0j8p000001zYEXAA2","Success","N264220004016009","a0j8p000001zYEXAA2","Paid","2022-09-22T12:58:31Z","Item Updated"
"a0j8p000001zYVwAAM","Success","N264220004016298","a0j8p000001zYVwAAM","Paid","2022-09-22T12:58:31Z","Item Updated"
"a0j8p000001zutdAAA","Success","N264220004015786","a0j8p000001zutdAAA","Paid","2022-09-22T12:58:31Z","Item Updated"
"a0j8p000001zv9hAAA","Success","N264220004016300","a0j8p000001zv9hAAA","Paid","2022-09-22T12:58:31Z","Item Updated"
"a0j8p000001yaadAAA","Success","N264220004015959","a0j8p000001yaadAAA","Paid","2022-09-22T12:58:31Z","Item Updated"
"a0j8p000001ynw6AAA","Success","N264220004016025","a0j8p000001ynw6AAA","Paid","2022-09-22T12:58:31Z","Item Updated"
"a0j8p000001zjfkAAA","Success","N264220004016230","a0j8p000001zjfkAAA","Paid","2022-09-22T12:58:31Z","Item Updated"
"a0j8p000001zUsOAAU","Success","N264220004016183","a0j8p000001zUsOAAU","Paid","2022-09-22T12:58:31Z","Item Updated"
"a0j8p000001zYJEAA2","Success","N264220004016163","a0j8p000001zYJEAA2","Paid","2022-09-22T12:58:31Z","Item Updated"
"a0j8p000001zRqXAAU","Success","N264220004015922","a0j8p000001zRqXAAU","Paid","2022-09-22T12:58:31Z","Item Updated"
